x_elect,elect_ftp
0.0,18.636407965797353
1.000100010001,18.636895218354503
2.000200020002,18.637388496178243
3.0003000300030003,18.637887799268523
4.000400040004,18.638393127625356
5.000500050005,18.638904481248737
6.0006000600060005,18.639421860138672
7.000700070007,18.639945264295154
8.000800080008,18.640474693718176
9.000900090009,18.641010148407762
10.00100010001,18.64155162836388
11.001100110011,18.642099133586573
12.001200120012001,18.64265266407578
13.001300130013,18.643212219831554
14.001400140014,18.64377780085388
15.001500150015,18.64434940714275
16.001600160016,18.644927038698167
17.001700170017,18.645510695520134
18.001800180018,18.646100377608647
19.001900190019,18.646696084963725
20.00200020002,18.647297817585333
21.002100210021002,18.6479055754735
22.002200220022,18.64851935862821
23.002300230023,18.64913916704947
24.002400240024002,18.649765000737286
25.002500250025,18.650396859691636
26.002600260026,18.65103474391255
27.002700270027,18.651678653400005
28.002800280028,18.652328588154006
29.002900290029,18.65298454817456
30.00300030003,18.653646533461664
31.003100310031,18.654314544015318
32.003200320032,18.654988579835514
33.003300330033,18.655668640922272
34.003400340034,18.656354727275566
35.003500350035,18.657046838895408
36.003600360036,18.65774497578181
37.003700370037,18.658449137934756
38.003800380038,18.659159325354242
39.003900390039,18.659875538040286
40.00400040004,18.660597775992876
41.004100410041,18.66132603921202
42.004200420042004,18.662060327697702
43.004300430043,18.662800641449945
44.004400440044,18.66354698046873
45.004500450045,18.664299344754067
46.004600460046,18.66505773430595
47.004700470047,18.66582214912438
48.004800480048004,18.666592589209365
49.004900490049,18.667369054560897
50.00500050005,18.668151545178976
51.005100510051,18.668940061063605
52.005200520052,18.669734602214778
53.005300530053,18.670535168632505
54.005400540054,18.67134176031677
55.005500550055004,18.6721543772676
56.005600560056,18.672973019484974
57.005700570057,18.673797686968896
58.005800580058,18.674628379719362
59.005900590059,18.67546509773638
60.00600060006,18.676307841019952
61.006100610061004,18.677156609570066
62.006200620062,18.67801140338673
63.006300630063,18.678872222469945
64.006400640064,18.679739066819707
65.00650065006501,18.680611936436023
66.006600660066,18.681490831318875
67.006700670067,18.68237575146829
68.006800680068,18.68326669688425
69.006900690069,18.684163667566754
70.00700070007,18.685066663515805
71.007100710071,18.68597568473141
72.007200720072,18.686890731213566
73.007300730073,18.687811802962266
74.007400740074,18.688738899977515
75.007500750075,18.689672022259316
76.007600760076,18.690611169807667
77.00770077007701,18.691556342622565
78.007800780078,18.69250754070401
79.007900790079,18.693464764052003
80.00800080008,18.694428012666545
81.008100810081,18.69539728654764
82.008200820082,18.696372585695283
83.008300830083,18.69735391010947
84.00840084008401,18.69834125979021
85.008500850085,18.699334634737497
86.008600860086,18.700334034951332
87.008700870087,18.70133946043172
88.008800880088,18.70235091117865
89.008900890089,18.703368387192135
90.00900090009,18.704391888472166
91.00910091009101,18.70542141501875
92.009200920092,18.706456966831873
93.009300930093,18.707498543911555
94.009400940094,18.70854614625778
95.009500950095,18.709599773870554
96.00960096009601,18.71065942674988
97.009700970097,18.711725104895756
98.009800980098,18.712796808308177
99.009900990099,18.713874536987152
100.0100010001,18.714958290932667
101.010101010101,18.716048070144733
102.010201020102,18.717143874623353
103.01030103010301,18.718245704368524
104.010401040104,18.719353559380238
105.010501050105,18.720467439658496
106.010601060106,18.721587345203314
107.010701070107,18.722713276014677
108.010801080108,18.723845232092586
109.010901090109,18.724983213437046
110.01100110011001,18.726127220048056
111.011101110111,18.72727725192561
112.011201120112,18.72843330906972
113.011301130113,18.729595391480366
114.011401140114,18.73076349915758
115.011501150115,18.731937632101324
116.011601160116,18.733117790311624
117.01170117011701,18.734303973788478
118.011801180118,18.73549618253187
119.011901190119,18.736694416541823
120.01200120012,18.737898675818318
121.012101210121,18.739108960361367
122.01220122012201,18.74032527017096
123.012301230123,18.741547605247103
124.012401240124,18.742775965589793
125.012501250125,18.74401035119903
126.012601260126,18.745250762074825
127.012701270127,18.746497198217167
128.012801280128,18.747749659626045
129.012901290129,18.74900814630148
130.01300130013001,18.75027265824347
131.013101310131,18.751543195452005
132.013201320132,18.752819757927078
133.013301330133,18.754102345668713
134.013401340134,18.755390958676895
135.01350135013502,18.756685596951623
136.013601360136,18.7579862604929
137.013701370137,18.759292949300725
138.013801380138,18.760605663375106
139.013901390139,18.761924402716026
140.01400140014,18.763249167323497
141.014101410141,18.764579957197522
142.014201420142,18.765916772338088
143.014301430143,18.76725961274521
144.014401440144,18.768608478418873
145.014501450145,18.769963369359093
146.014601460146,18.771324285565854
147.014701470147,18.772691227039175
148.014801480148,18.774064193779033
149.01490149014901,18.775443185785445
150.01500150015,18.776828203058407
151.015101510151,18.778219245597924
152.015201520152,18.779616313403974
153.015301530153,18.781019406476585
154.01540154015402,18.78242852481574
155.015501550155,18.783843668421444
156.015601560156,18.785264837293703
157.015701570157,18.7866920314325
158.015801580158,18.78812525083785
159.015901590159,18.78956449550975
160.01600160016,18.790888424550708
161.016101610161,18.79214713170168
162.016201620162,18.793411912830937
163.016301630163,18.794682767938472
164.016401640164,18.79595969702429
165.016501650165,18.797242700088393
166.016601660166,18.79853177713078
167.016701670167,18.799826928151457
168.01680168016802,18.80112815315041
169.016901690169,18.802435452127646
170.01700170017,18.80374882508317
171.017101710171,18.80506827201697
172.017201720172,18.806393792929068
173.01730173017302,18.807725387819435
174.017401740174,18.80906305668809
175.017501750175,18.81022407030051
176.017601760176,18.811327382376255
177.017701770177,18.81243778015742
178.017801780178,18.813555263643998
179.017901790179,18.814679832835992
180.01800180018,18.815811487733406
181.018101810181,18.81695022833624
182.01820182018201,18.818096054644492
183.018301830183,18.819248966658158
